protocol,encryption_mode,starttls_offered,starttls_success,tls_version,cipher_suite,key_exchange,forward_secrecy,cert_expired,cert_not_yet_valid,cert_key_algorithm,cert_key_size,cert_signature_algorithm,self_signed,hostname_match,packet_count,bytes_sent,bytes_received,retransmission_count,tls_handshake_duration,session_start,session_end,session_id,session_duration_seconds,bytes_total,avg_packet_size,hour_of_day,day_of_week,week_of_year,rule_risk_label,rule_risk_score
SMTP,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_256_GCM_SHA384,ECDHE,1,0,0,RSA,2048,SHA256_RSA,0,1,103,7841,43499,1,0.2757,2026-10-09 09:55:40,2026-10-09 09:55:58,SMS-000001,18.0,51340,498.45,9,4,41,Low,5
POP3,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_128_GCM_SHA256,ECDHE,1,0,0,RSA,2048,SHA256_RSA,1,1,168,30816,57064,1,0.1056,2026-08-11 10:59:26,2026-08-11 10:59:30,SMS-000002,4.0,87880,523.1,10,1,33,Medium,20
SMTP,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_128_GCM_SHA256,ECDHE,1,1,0,RSA,2048,SHA256_RSA,0,1,162,12794,53026,0,0.1687,2026-09-17 13:59:00,2026-09-17 13:59:06,SMS-000003,6.0,65820,406.3,13,3,38,Medium,30
SMTP,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_128_GCM_SHA256,ECDHE,1,0,0,RSA,2048,SHA256_RSA,1,1,173,26769,24685,2,0.2927,2026-10-16 14:41:14,2026-10-16 14:41:25,SMS-000004,11.0,51454,297.42,14,4,42,Medium,20
SMTP,STARTTLS,1,1,TLS 1.2,AES_256_GCM_SHA384,RSA,0,0,0,RSA,2048,SHA256_RSA,0,1,177,17832,59446,0,0.3583,2026-06-18 05:09:47,2026-06-18 05:09:50,SMS-000005,3.0,77278,436.6,5,3,25,Low,15
IMAP,STARTTLS,1,1,TLS 1.2,AES_256_GCM_SHA384,RSA,0,0,0,RSA,2048,SHA256_RSA,0,1,302,42784,54997,1,0.126,2026-03-29 05:04:27,2026-03-29 05:04:31,SMS-000006,4.0,97781,323.78,5,6,13,Low,15
IMAP,STARTTLS,1,1,TLS 1.3,TLS_AES_256_GCM_SHA384,X25519,1,0,0,RSA,2048,SHA256_RSA,0,1,198,28561,108965,1,0.096,2026-05-04 04:43:07,2026-05-04 04:43:27,SMS-000007,20.0,137526,694.58,4,0,19,Low,0
IMAP,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_128_GCM_SHA256,ECDHE,1,0,0,RSA,2048,SHA256_RSA,0,0,214,24013,140402,0,0.1604,2026-08-21 23:49:04,2026-08-21 23:49:46,SMS-000008,42.0,164415,768.29,23,4,34,Medium,25
IMAP,STARTTLS,1,1,TLS 1.3,TLS_AES_256_GCM_SHA384,X25519,1,0,0,RSA,2048,SHA256_RSA,0,1,214,29783,70891,25,0.2118,2026-05-04 12:42:07,2026-05-04 12:45:14,SMS-000009,187.0,100674,470.44,12,0,19,Low,0
POP3,PLAINTEXT,0,0,,,,0,0,0,,0,,0,0,57,13587,10370,4,0.0,2026-05-21 09:12:13,2026-05-21 09:12:18,SMS-000010,5.0,23957,420.3,9,3,21,High,65
SMTP,STARTTLS,1,1,TLS 1.1,AES_128_CBC_SHA,RSA,0,0,0,RSA,2048,SHA1_RSA,0,1,77,14202,32771,4,0.344,2026-11-06 03:31:24,2026-11-06 03:31:41,SMS-000011,17.0,46973,610.04,3,4,45,High,45
IMAP,STARTTLS,1,1,TLS 1.3,TLS_AES_256_GCM_SHA384,X25519,1,0,0,RSA,2048,SHA256_RSA,0,1,253,39102,138852,4,0.0583,2026-06-13 14:15:54,2026-06-13 14:16:08,SMS-000012,14.0,177954,703.38,14,5,24,Low,0
IMAP,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_256_GCM_SHA384,ECDHE,1,0,0,RSA,2048,SHA256_RSA,0,1,453,67505,80914,34,1.2612,2026-07-30 20:40:34,2026-07-30 20:43:04,SMS-000013,150.0,148419,327.64,20,3,31,Low,5
SMTP,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_256_GCM_SHA384,ECDHE,1,0,0,RSA,2048,SHA256_RSA,0,1,126,21926,26935,1,0.3388,2026-05-11 09:58:03,2026-05-11 09:58:10,SMS-000014,7.0,48861,387.79,9,0,20,Low,5
IMAP,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_256_GCM_SHA384,ECDHE,1,0,0,RSA,2048,SHA256_RSA,0,1,259,22960,72587,0,0.1084,2026-08-03 22:25:46,2026-08-03 22:26:36,SMS-000015,50.0,95547,368.91,22,0,32,Low,5
IMAP,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_128_GCM_SHA256,ECDHE,1,0,1,RSA,2048,SHA256_RSA,0,1,215,23904,91434,1,0.103,2026-04-30 07:10:15,2026-04-30 07:10:28,SMS-000016,13.0,115338,536.46,7,3,18,Medium,25
SMTP,STARTTLS,1,1,TLS 1.2,AES_256_GCM_SHA384,RSA,0,0,0,RSA,2048,SHA256_RSA,0,1,136,21583,43646,0,0.2739,2026-07-04 21:14:24,2026-07-04 21:14:47,SMS-000017,23.0,65229,479.62,21,5,27,Low,15
IMAP,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_128_GCM_SHA256,ECDHE,1,1,0,RSA,2048,SHA256_RSA,0,1,182,22438,74379,0,0.2169,2026-09-13 20:29:34,2026-09-13 20:29:44,SMS-000018,10.0,96817,531.96,20,6,37,Medium,30
IMAP,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_256_GCM_SHA384,ECDHE,1,0,0,RSA,2048,SHA256_RSA,0,1,282,37708,169454,1,0.2584,2026-12-24 23:23:02,2026-12-24 23:23:25,SMS-000019,23.0,207162,734.62,23,3,52,Low,5
IMAP,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_256_GCM_SHA384,ECDHE,1,0,0,RSA,2048,SHA256_RSA,0,1,74,9348,33046,0,0.4036,2026-10-23 20:56:33,2026-10-23 20:56:38,SMS-000020,5.0,42394,572.89,20,4,43,Low,5
POP3,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_128_GCM_SHA256,ECDHE,1,1,0,RSA,2048,SHA256_RSA,0,1,72,17105,17505,0,0.0809,2026-12-25 17:23:46,2026-12-25 17:24:14,SMS-000021,28.0,34610,480.69,17,4,52,Medium,30
SMTP,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_128_GCM_SHA256,ECDHE,1,1,0,RSA,2048,SHA256_RSA,0,1,70,11034,36120,1,0.1582,2026-08-07 20:03:38,2026-08-07 20:03:40,SMS-000022,2.0,47154,673.63,20,4,32,Medium,30
SMTP,STARTTLS,1,1,TLS 1.3,TLS_AES_256_GCM_SHA384,X25519,1,0,0,RSA,2048,SHA256_RSA,0,1,511,39984,124796,3,0.0727,2026-11-17 16:48:11,2026-11-17 16:48:18,SMS-000023,7.0,164780,322.47,16,1,47,Low,0
POP3,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_128_GCM_SHA256,ECDHE,1,0,0,RSA,2048,SHA256_RSA,1,1,109,9851,33358,0,0.1129,2026-10-04 22:45:17,2026-10-04 22:45:33,SMS-000024,16.0,43209,396.41,22,6,40,Medium,20
IMAP,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_128_GCM_SHA256,ECDHE,1,0,0,RSA,2048,SHA256_RSA,0,0,340,24248,120418,0,0.2338,2026-10-17 16:13:52,2026-10-17 16:14:00,SMS-000025,8.0,144666,425.49,16,5,42,Medium,25
SMTP,STARTTLS,1,1,TLS 1.3,TLS_CHACHA20_POLY1305_SHA256,X25519,1,0,0,ECDSA,256,ECDSA_SHA256,0,1,64,5433,26376,0,0.2838,2026-03-31 05:19:10,2026-03-31 05:19:15,SMS-000026,5.0,31809,497.02,5,1,14,Low,0
SMTP,STARTTLS,1,1,TLS 1.3,TLS_AES_256_GCM_SHA384,X25519,1,0,0,RSA,2048,SHA256_RSA,0,1,121,15324,63855,2,0.1779,2026-04-11 05:25:32,2026-04-11 05:25:33,SMS-000027,1.0,79179,654.37,5,5,15,Low,0
IMAP,STARTTLS,1,1,TLS 1.1,AES_128_CBC_SHA,RSA,0,0,0,RSA,2048,SHA1_RSA,0,1,223,20864,102673,2,1.082,2026-05-09 05:50:48,2026-05-09 05:50:51,SMS-000028,3.0,123537,553.98,5,5,19,High,45
SMTP,STARTTLS,1,1,TLS 1.2,ECDHE_RSA_AES_128_GCM_SHA256,ECDHE,1,1,0,RSA,2048,SHA256_RSA,0,1,108,8754,22699,0,0.0832,2026-01-09 22:59:32,2026-01-09 22:59:35,SMS-000029,3.0,31453,291.23,22,4,2,Medium,30
SMTP,STARTTLS,1,1,TLS 1.2,AES_256_GCM_SHA384,RSA,0,0,0,RSA,2048,SHA256_RSA,0,1,72,10009,30897,0,0.2488,2026-01-23 22:08:28,2026-01-23 22:08:41,SMS-000030,13.0,40906,568.14,22,4,4,Low,15
IMAP,STARTTLS,1,1,TLS 1.3,TLS_AES_256_GCM_SHA384,X25519,1,0,0,RSA,2048,SHA256_RSA,0,1,460,29289,138008,0,0.139,2026-04-15 16:01:32,2026-04-15 16:02:32,SMS-000031,60.0,167297,363.69,16,2,16,Low,0
